id,名称,住所,方書,電話番号,回収形態,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,事前連絡,備考,対象品目
262,イオン札幌発寒店,北海道札幌市西区 発寒8条12-1-1,なし,なし,回収ボックス,店舗営業日,なし,なし,店舗営業時間内,なし,なし,小型家電
263,イオン札幌琴似店,北海道札幌市西区 琴似2条4-2-2,なし,なし,回収ボックス,店舗営業日,なし,なし,店舗営業時間内,なし,なし,小型家電
264,手稲区役所,北海道札幌市手稲区 前田1条11-1-10,なし,なし,回収ボックス,月火水木金,8:45,17:15,年末年始、土日祝日休み,なし,なし,小型家電
265,イオンスーパーセンター手稲山口店,北海道札幌市手稲区 明日風6-1-1,なし,なし,回収ボックス,店舗営業日,なし,なし,店舗営業時間内,なし,なし,小型家電
266,じゅんかんコンビニ24桑園店,北海道札幌市中央区 北9条西21-1,なし,なし,回収拠点,月火水木金土日,なし,なし,年中無休、24時間営業,なし,なし,小型家電
267,じゅんかんコンビニ24伏見店,北海道札幌市中央区 南15条西19-2,なし,なし,回収拠点,月火水木金土日,なし,なし,年中無休、24時間営業,なし,なし,小型家電
268,じゅんかんコンビニ24太平店,北海道札幌市北区 太平5条5-5,なし,なし,回収拠点,月火水木金土日,なし,なし,年中無休、24時間営業,なし,なし,小型家電
269,ＤＣＭホーマック篠路店リサイクルステーション,北海道札幌市北区 篠路1条1-1-10,なし,なし,回収拠点,店舗営業日,なし,なし,店舗営業時間内,なし,なし,小型家電
270,じゅんかんコンビニ24元町店,北海道札幌市東区 北20条東20-1,なし,なし,回収拠点,月火水木金土日,なし,なし,年中無休、24時間営業,なし,なし,小型家電
271,じゅんかんコンビニ24マテックプラザ店,北海道札幌市白石区 本通20-北1-10,なし,なし,回収拠点,月火水木金土日,なし,なし,年中無休、24時間営業,なし,なし,小型家電
272,株式会社マテック札幌支店,北海道札幌市白石区 東米里2032-12,なし,なし,回収拠点,月火水木金,なし,なし,4～12月8：00～17：00、1～3月8：30～17：30土日祝日、年末年始休み,なし,なし,小型家電
273,じゅんかんコンビニ24森林公園店,北海道札幌市厚別区 厚別東4条8-15-1,なし,なし,回収拠点,月火水木金土日,なし,なし,年中無休、24時間営業,なし,なし,小型家電
274,じゅんかんコンビニ24月寒店,北海道札幌市豊平区 月寒東3条3-2,なし,なし,回収拠点,月火水木金土日,なし,なし,2018年10月６日オープン予定。年中無休、24時間営業,なし,なし,小型家電
275,じゅんかんコンビニ24西岡店,北海道札幌市豊平区 西岡4条1-5-9,なし,なし,回収拠点,月火水木金土日,なし,なし,年中無休、24時間営業,なし,なし,小型家電
276,ＤＣＭホーマック西岡店リサイクルステーション,北海道札幌市豊平区 西岡1条8-8-1,なし,なし,回収拠点,店舗営業日,なし,なし,店舗営業時間内,なし,なし,小型家電
277,じゅんかんコンビニ24美しが丘店,北海道札幌市清田区 美しが丘1条4-1-15,なし,なし,回収拠点,月火水木金土日,なし,なし,年中無休、24時間営業,なし,なし,小型家電
278,ＤＣＭホーマック真栄店リサイクルステーション,北海道札幌市清田区 真栄4条2-1-10,なし,なし,回収拠点,店舗営業日,なし,なし,店舗営業時間内,なし,なし,小型家電
279,ＤＣＭホーマック藤野店リサイクルステーション,北海道札幌市南区 藤野2条4-1-1,なし,なし,回収拠点,店舗営業日,なし,なし,店舗営業時間内,なし,なし,小型家電
280,じゅんかんコンビニ24発寒店,北海道札幌市西区 発寒12条13-2-52,なし,なし,回収拠点,月火水木金土日,なし,なし,年中無休、24時間営業,なし,なし,小型家電
281,ＤＣＭホーマック発寒追分通店リサイクルステーション,北海道札幌市西区 発寒9条14-516-210,なし,なし,回収拠点,店舗営業日,なし,なし,店舗営業時間内,なし,なし,小型家電
282,じゅんかんコンビニ24富丘店,北海道札幌市手稲区 富丘3条5-5,なし,なし,回収拠点,月火水木金土日,なし,なし,年中無休、24時間営業,なし,なし,小型家電
283,じゅんかんコンビニ24明日風店,北海道札幌市手稲区 明日風1-1,なし,なし,回収拠点,月火水木金土日,なし,なし,年中無休、24時間営業,なし,なし,小型家電
284,大阪屋,北海道札幌市中央区 北1条西3,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
285,ヤマダ電機テックランド札幌本店,北海道札幌市中央区 北1条西8-1-2,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
286,花岡電器,北海道札幌市中央区 北1条西23-2-2,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
287,中原電気商会,北海道札幌市中央区 北2条西2,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
288,桑園電器商会,北海道札幌市中央区 北4条西14,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
289,ビックカメラ札幌店,北海道札幌市中央区 北5条西2-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
290,イオン札幌桑園店,北海道札幌市中央区 北8条西14-28,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
291,ヨシロウ電器,北海道札幌市中央区 北12条西20,中央卸売市場内,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
292,オノデンＣＯ．,北海道札幌市中央区 北13条西19-37-67,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
293,飯田電気店,北海道札幌市中央区 南3条東2-18,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
294,西友旭ヶ丘店,北海道札幌市中央区 南8条西25-2-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
295,ＤＣＭホーマック旭ヶ丘店,北海道札幌市中央区 南9条西22-1-2,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
296,サンテックまつい,北海道札幌市中央区 南11条西12,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
297,ラルズマート啓明店,北海道札幌市中央区 南11条西21-4-21,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
298,ラルズマート山鼻店,北海道札幌市中央区 南12条西11-2-10,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
299,東光ストア行啓通店,北海道札幌市中央区 南14条西9-1-15,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
300,啓明電気,北海道札幌市中央区 南14条西11-2-12,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
301,マックスバリュ南15条店,北海道札幌市中央区 南15条西14-1-22,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
302,東光ストアあいの里店,北海道札幌市北区 あいの里1条5-1-31,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
303,ビバホームあいの里店,北海道札幌市北区 あいの里1条6-2-2,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
304,北地区リサイクルセンター,北海道札幌市北区 あいの里2条6-1-10,廃棄物空気輸送センター内,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
305,ヨドバシカメラマルチメディア札幌,北海道札幌市北区 北6条西5-1-22,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
306,スーパーアークス北24条店,北海道札幌市北区 北24条西9-1-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
307,旭電器販売,北海道札幌市北区 北26西8-1-19,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
308,マックスバリュ北32条店,北海道札幌市北区 北32条西13-1-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
309,ヤマダ電機テックランド札幌北33条店,北海道札幌市北区 北33条西5-120-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
310,ケーズデンキ札幌麻生店,北海道札幌市北区 北36条西10-1-5,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
311,イオン札幌麻生店,北海道札幌市北区 北39条西4-1-5,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
312,東光ストア麻生店,北海道札幌市北区 北40条西4-2-15,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
313,ＤＣＭホーマック篠路店,北海道札幌市北区 篠路1条1-1-10,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
314,井形電気商会,北海道札幌市北区 篠路3条7-8-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
315,スーパーアークスノース,北海道札幌市北区 篠路3条9-2-15,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
316,コアデンキ,北海道札幌市北区 新川1条1-1-31,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
317,ビッグハウス新川店,北海道札幌市北区 新川6条14-1-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
318,スーパーアークスエクスプレス,北海道札幌市北区 新川西1条4-1-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
319,ビバホーム新琴似店,北海道札幌市北区 新琴似1条7-3-35,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
320,下村電器,北海道札幌市北区 新琴似1条11-10-21,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
321,なかでん,北海道札幌市北区 新琴似3条4-4-3,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
322,石垣電機,北海道札幌市北区 新琴似7条16-5-23,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
323,コンパスホリイ,北海道札幌市北区 新琴似8条12-5-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
324,ＤＣＭホーマック新琴似店,北海道札幌市北区 新琴似8条16-9-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
325,ハタナカ電器,北海道札幌市北区 新琴似9条15-5-22,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
326,マックスバリュ新琴似店,北海道札幌市北区 新琴似10条2-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
327,ビッグハウス太平店,北海道札幌市北区 太平4条1-3-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
328,細川電機株式会社札幌営業店,北海道札幌市北区 太平9条5-2-7,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
329,電器のマツダの店,北海道札幌市北区 屯田4条2-8-6,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
330,でんきのエイト,北海道札幌市北区 屯田4条6-6-18,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
331,ヤマダ電機テックランド屯田店,北海道札幌市北区 屯田7条3-2-2,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
332,イトーヨーカドー屯田店,北海道札幌市北区 屯田8条3-5-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
333,ジョイフルエーケー屯田店,北海道札幌市北区 屯田8条5-5-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
334,イトーヨーカドーアリオ札幌店,北海道札幌市東区 北7条東9-2-20,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
335,スーパーアークス苗穂店,北海道札幌市東区 北7条東18-2-10,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
336,ＤＣＭホーマック光星店,北海道札幌市東区 北9条東5-7-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
337,ビッグハウス光星店,北海道札幌市東区 北14条東3-1-30,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
338,マックスバリュ元町店,北海道札幌市東区 北17条東16-1-10,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
339,ＤＣＭホーマック元町店,北海道札幌市東区 北17条東20-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
340,足立金物店,北海道札幌市東区 北19条東1-1-24,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
341,造田電器,北海道札幌市東区 北20条東20-3-27,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
342,コープさっぽろ元町店,北海道札幌市東区 北21条東16-2-12,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
343,北野電気,北海道札幌市東区 北21条東17-3,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
344,マツヤデンキ元町店,北海道札幌市東区 北23条東21-25-4,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
345,西友元町北二十四条店,北海道札幌市東区 北24条東20-4-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
346,タカハシ電気,北海道札幌市東区 北25条東3-1-15,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
347,たかのでんき,北海道札幌市東区 北25条東19-2-8,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
348,イオン札幌元町店,北海道札幌市東区 北31条東15-1-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
349,高橋無線電器,北海道札幌市東区 北34条東18-4-17,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
350,ラルズマート北35条店,北海道札幌市東区 北35条東4-1-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
351,加藤電器,北海道札幌市東区 北35条東21-2-13,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
352,アラカワ電機,北海道札幌市東区 北37条東18-1-12,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
353,イオン札幌栄町店,北海道札幌市東区 北42条東16-1-5,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
354,ロイヤル家電,北海道札幌市東区 北47条東7-1-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
355,アサヒ電器,北海道札幌市東区 北48条東15-2-27,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
356,ＤＣＭホーマック北栄店,北海道札幌市東区 北49条東7-1-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
357,ホクレンショップ49条店,北海道札幌市東区 北49条東15-723-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
358,ケーズデンキ東苗穂店,北海道札幌市東区 東苗穂1条3-1-15,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
359,イオン札幌苗穂店,北海道札幌市東区 東苗穂2条3-1-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
360,ＤＣＭホーマック東苗穂店,北海道札幌市東区 東苗穂3条2-5-10,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
361,100満ボルト東苗穂店,北海道札幌市東区 東苗穂3条2-5-20,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
362,ホクレンFoodFarm東苗穂店,北海道札幌市東区 東苗穂8条1-18-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
363,マツヤデンキ札苗店,北海道札幌市東区 東苗穂9条1-2-15,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
364,コンパスはんだ,北海道札幌市東区 東苗穂10条2-14-23,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
365,ヤマダ電機テックランド札幌苗穂店,北海道札幌市東区 東雁来2条1-1-16,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
366,ＤＣＭホーマック東雁来店,北海道札幌市東区 東雁来10条3-1-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
367,ヴィクトリー,北海道札幌市東区 伏古5条4-1-9,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
368,ラルズマート伏古店,北海道札幌市東区 伏古6条3-4-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
369,フシコデンキ,北海道札幌市東区 伏古8条4-2-6,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
370,コープさっぽろ新道店,北海道札幌市東区 伏古11条3-1-45,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
371,サンワドー札幌新道店,北海道札幌市東区 伏古11条3-1―50,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
372,丸ヨ小林電器店,北海道札幌市東区 本町2条4-1-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
373,ラルズマート新ほくと店,北海道札幌市白石区 川下4条1-1-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
374,マックスバリュ菊水店,北海道札幌市白石区 菊水2条2-1―11,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
375,スーパーアークス菊水店,北海道札幌市白石区 菊水3条5-2-25,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
376,ＤＣＭホーマック菊水元町店,北海道札幌市白石区 菊水元町3条5-4-27,なし,なし,なし,なし,なし,なし,なし,なし,H30.9.10から翌春まで一時閉店,蛍光管
377,栄電社,北海道札幌市白石区 北郷2条9-2-8,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
378,電器のいとう,北海道札幌市白石区 北郷3条2-2-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
379,デンキのササキ,北海道札幌市白石区 栄通3-5-15,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
380,コープさっぽろルーシー店,北海道札幌市白石区 栄通18-5-35,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
381,でんきの芦崎,北海道札幌市白石区 栄通21-22-2,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
382,アールエス・ネットサービス,北海道札幌市白石区 中央3条4-5-11,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
383,東光ストア南郷13丁目店,北海道札幌市白石区 南郷通13南5-16,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
384,イオン東札幌店,北海道札幌市白石区 東札幌3条2-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
385,ビッグハウス白石店,北海道札幌市白石区 平和通3-北1-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
386,くぼた電器,北海道札幌市白石区 本郷通7南3-8,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
387,ポウラスタースエタ,北海道札幌市白石区 本通2北1-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
388,ヤマダ電機テックランド札幌白石店,北海道札幌市白石区 本通15北1-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
389,北海道佐々木商会,北海道札幌市白石区 本通18北3-60,稲津ビル,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
390,スーパービバホーム白石本通店,北海道札幌市白石区 本通20南1-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
391,デンキのサンポウ,北海道札幌市厚別区 青葉町9-3-25,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
392,ビッグハウスイースト,北海道札幌市厚別区 厚別中央2条2-2-6,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
393,イオン新さっぽろ店,北海道札幌市厚別区 厚別中央2条5-7-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
394,ＤＣＭホーマック厚別西店,北海道札幌市厚別区 厚別西3条6-700-73,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
395,西友厚別店,北海道札幌市厚別区 厚別西4条6-700-126,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
396,マックスバリュ厚別東店,北海道札幌市厚別区 厚別東1条1-3-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
397,新山電器,北海道札幌市厚別区 厚別東1条4-3-6,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
398,パナルックササキ,北海道札幌市厚別区 厚別東1条6-8-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
399,厚別地区リサイクルセンター,北海道札幌市厚別区 厚別東3条1-1-10,リユースプラザ内,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
400,ヤマダ電機テックランド札幌厚別店,北海道札幌市厚別区 厚別東4条8-18-20,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
401,ＤＣＭホーマック厚別東店,北海道札幌市厚別区 厚別東5条1-2-10,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
402,ケーズデンキ厚別店,北海道札幌市厚別区 厚別東5条8-7-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
403,デンキハウスレッツあつべつ,北海道札幌市厚別区 厚別南4-15-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
404,マックスバリュ厚別店,北海道札幌市厚別区 厚別南5-22-50,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
405,レッツたかはし,北海道札幌市厚別区 厚別南7-2-8,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
406,東光ストア大谷地店,北海道札幌市厚別区 大谷地東3-3-20,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
407,あさひ電機,北海道札幌市厚別区 上野幌2条2-7-7,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
408,ヤマダ電機テックランド札幌月寒店,北海道札幌市豊平区 月寒東1条12-1-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
409,リサイクルセンターダイトー,北海道札幌市豊平区 月寒東2条17,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
410,スーパーアークス月寒東店,北海道札幌市豊平区 月寒東3条8-1-30,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
411,ケーズデンキ月寒店,北海道札幌市豊平区 月寒東5条13-3-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
412,ザ・ビッグ豊平店,北海道札幌市豊平区 豊平4条9-3-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
413,ビバホーム豊平店,北海道札幌市豊平区 豊平6条9-2-10,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
414,ＤＣＭホーマック西岡店,北海道札幌市豊平区 西岡1条8-8-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
415,コジマ×ビックカメライオン西岡店,北海道札幌市豊平区 西岡3条3-4-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
416,ザ・ビッグ西岡店,北海道札幌市豊平区 西岡3条7-220,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
417,おちあい電器,北海道札幌市豊平区 西岡3条9-5-2,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
418,ビッグハウスエクストラ,北海道札幌市豊平区 平岸1条22-2-15,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
419,ビバホーム平岸店,北海道札幌市豊平区 平岸1条22-2-15,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
420,平岸電化センター,北海道札幌市豊平区 平岸2条7-4-17,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
421,西友平岸店,北海道札幌市豊平区 平岸2条10-3-28,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
422,マツヤデンキ平岸店,北海道札幌市豊平区 平岸2条11-3-12,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
423,マックスバリュ平岸店,北海道札幌市豊平区 平岸3条13-6-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
424,ラルズストア平岸店,北海道札幌市豊平区 平岸5条8-1-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
425,西友福住店,北海道札幌市豊平区 福住1条3-10,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
426,イトーヨーカドー福住店,北海道札幌市豊平区 福住2条1-2-5,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
427,ラルズマート美園店,北海道札幌市豊平区 美園2条1-2-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
428,ビッグハウス里塚店,北海道札幌市清田区 美しが丘1条7-1-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
429,パナプラザエイト電器,北海道札幌市清田区 美しが丘2条4-5-5,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
430,ＤＣＭホーマック北野通店,北海道札幌市清田区 北野3条2-13-75,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
431,ラルズストア北野店,北海道札幌市清田区 北野3条2-13-88,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
432,ヤマダ電機テックランド清田店,北海道札幌市清田区 清田1条1-1-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
433,さとう電器,北海道札幌市清田区 清田6条1-8-17,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
434,栗山電器,北海道札幌市清田区 清田6条3-3-13,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
435,デンキのコダマ,北海道札幌市清田区 里塚2条2-9-12,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
436,むつみ電機,北海道札幌市清田区 真栄1条1-1-18,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
437,ＤＣＭホーマック真栄店,北海道札幌市清田区 真栄4条2-1-10,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
438,スーパービバホーム清田羊ヶ丘通店,北海道札幌市清田区 真栄52番地,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
439,100満ボルト札幌清田店,北海道札幌市清田区 真栄56番地,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
440,西友清田店,北海道札幌市清田区 平岡1条1-1-3,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
441,サンロードさいとう,北海道札幌市清田区 平岡1条1-6-18,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
442,イオン札幌平岡店,北海道札幌市清田区 平岡3条5-3-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
443,東光ストア平岡店,北海道札幌市清田区 平岡7条2-2-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
444,ＤＣＭホーマック平岡店,北海道札幌市清田区 平岡公園東3-1-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
445,雨宮電器商会,北海道札幌市南区 石山3条7-3-21,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
446,ＤＣＭホーマック川沿店,北海道札幌市南区 川沿3条1-1-74,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
447,ヤマダ電機テックランド札幌南川沿店,北海道札幌市南区 川沿5条2-1-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
448,コープさっぽろソシア店,北海道札幌市南区 川沿5条2-3,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
449,ベスト電器川沿店,北海道札幌市南区 川沿5条2-3,コープさっぽろソシア店内,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
450,ビッグハウスサウス,北海道札幌市南区 川沿15条1-1-55,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
451,なかむら,北海道札幌市南区 川沿18条2-1-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
452,東光ストア自衛隊駅前店,北海道札幌市南区 澄川3条6-3-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
453,マックスバリュ澄川店,北海道札幌市南区 澄川4条2-2-6,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
454,日和電器,北海道札幌市南区 澄川4条2-2-10,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
455,ＳＵＮプラザ澄川,北海道札幌市南区 澄川6条3-1-25,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
456,ＤＣＭホーマック藤野店,北海道札幌市南区 藤野2条4-1-1,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
457,東光ストア藤野店,北海道札幌市南区 藤野2条4-1-2,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
458,いしぐろ電器商会,北海道札幌市南区 藤野3条3-1-21,なし,なし,なし,なし,なし,なし,なし,なし,なし,蛍光管
