id,名称,住所,方書,電話番号,回収形態,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,事前連絡,備考,対象品目,latitude,longitude
1,株式会社古山商店,札幌市中央区大通東9丁目1,なし,011-231-5500,古紙回収協力店,月火水木金土,8:00,17:00,日曜、祝日、8/13～8/16、12/31～1/4は利用不可。,不要,なし,古紙・リターナブルびん,43.0637905,141.3703883
2,社会福祉総合センター,札幌市中央区大通西19丁目,なし,なし,古紙回収ボックス,月火水木金土日,9:00,20:00,12/29～1/4は利用不可,不要,なし,古紙・リターナブルびん,43.0575672,141.3278485
3,千葉みさを商店,札幌市中央区北2条西20丁目1-8,なし,011-613-9006,古紙回収協力店,月火水木金土日,7:00,19:00,なし,不要,なし,古紙・リターナブルびん,43.0604557,141.325401
4,北4条通り沿い　北向き,札幌市中央区北3条東5丁目5,なし,なし,エコボックス,月火水木金土日,8:00,18:00,なし,不要,なし,古紙・リターナブルびん,43.0667084,141.3632509
5,個人住宅駐車場前,札幌市中央区北4条東4丁目3,なし,なし,エコボックス,月火水木金土日,8:00,18:00,なし,不要,なし,古紙・リターナブルびん,43.0678181,141.3614733
6,東北会館倉庫前,札幌市中央区北4条東4丁目5,なし,なし,エコボックス,月火水木金土日,8:00,18:00,なし,不要,なし,古紙・リターナブルびん,43.0678181,141.3614733
7,コアレックス道栄株式会社,札幌市中央区北4条西15丁目,コアレックスビル,011-633-2323,古紙回収協力店,月火水木金土,9:00,17:00,土曜の利用時間は9:00～12:00。日曜、祝日、8/13～8/16、12/31～1/4は利用不可。,不要,なし,古紙・リターナブルびん,43.0636998,141.3326639
8,読売センター札幌中央,札幌市中央区北7条西9丁目2-11,なし,011-738-9777,古紙回収協力店,月火水木金土,10:00,16:00,日曜、祝日は利用不可。,必要,なし,古紙・リターナブルびん,,
9,読売センター桑園宮の森,札幌市中央区北7条西19丁目38-74,野村ビル1階,011-641-0406,古紙回収協力店,月火水木金土,10:00,17:00,日曜は利用不可。,必要,なし,古紙・リターナブルびん,43.0662455,141.3256766
10,株式会社稲葉札幌支店,札幌市中央区北9条西18丁目36-73,なし,011-621-0534,古紙回収協力店,月火水木金土,8:30,17:00,日曜、祝日は利用不可。,必要,なし,古紙・リターナブルびん,43.0689385,141.3265189
11,竹井商店,札幌市中央区北10条西19丁目35,なし,011-631-0753,古紙回収協力店,月火水木金土日,10:00,16:30,1月1日～1月5日は利用不可。,必要,なし,古紙・リターナブルびん,43.0696733,141.3247557
12,ペーパーショップサクマ,札幌市中央区南1条東4丁目7,なし,011-210-8401,古紙回収協力店,月火水木金土,10:00,19:00,土曜の利用時間は10:00～17:00。日曜、祝日、8/11～8/15、12/30～1/6は利用不可。,不要,なし,古紙・リターナブルびん,43.0608787,141.3620983
13,中央区民センター,札幌市中央区南2条西10丁目,裏口入口右手奥,なし,古紙回収ボックス,月火水木金土日,8:45,17:15,12/29～1/3は利用不可,不要,なし,古紙・リターナブルびん,43.0565481,141.3427187
14,読売センター円山,札幌市中央区南6条西21丁目2-17,なし,011-532-9311,古紙回収協力店,月火水木金土,9:00,20:00,祝日の利用時間は9:00～12:00。日曜、祝日の午後は利用不可。,必要,なし,古紙・リターナブルびん,43.0504909,141.3265864
15,ラルズマート啓明店,札幌市中央区南11条西21丁目4-21,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん,43.0438386,141.3261613
16,ラルズマート山鼻店,札幌市中央区南12条西11丁目2-10,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん,43.0437436,141.3425
17,読売センター幌西,札幌市中央区南14条西13丁目2-32,なし,011-561-5551,古紙回収協力店,月火水木金土,10:00,17:00,日曜、祝日は利用不可。,必要,なし,古紙・リターナブルびん,43.0406732,141.3391723
18,ラルズマート16条店,札幌市中央区南16条西8丁目2-15,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,サービスカウンターに持ち込み,古紙・リターナブルびん,43.0384585,141.3483886
19,読売センター山鼻,札幌市中央区南18条西9丁目2-5,なし,011-511-3102,古紙回収協力店,月火水木金土日,9:00,20:00,日曜、祝日の利用時間は09:00～12:00。日曜、祝日の午後は利用不可,必要,なし,古紙・リターナブルびん,43.0356351,141.3467569
20,コープさっぽろあいの里店,札幌市北区あいの里1条5丁目2,なし,011-778-8247,古紙回収協力店,月火水木金土日,10:00,20:00,なし,不要,なし,古紙・リターナブルびん,,
21,東光ストアあいの里店,札幌市北区あいの里1条5丁目2-3,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん,,
22,拓北・あいの里地区センター,札幌市北区あいの里1条6丁目,なし,なし,古紙回収ボックス,月火水木金土日,9:00,20:00,17:00以降は事務室に立ち寄り。12/29～1/3は利用不可。,不要,なし,古紙・リターナブルびん,,
23,北海道エネルキ゛ー株式会社トップロードあいの里ステーション,札幌市北区あいの里2条1丁目20-3,なし,011-774-7544,古紙回収協力店,月火水木金土日,7:30,22:00,なし,不要,なし,古紙・リターナブルびん,,
24,北地区リサイクルセンター,札幌市北区あいの里2条6丁目1-10,廃棄物空気輸送センター内,011-211-2928,地区リサイクルセンター,火水木金土日,10:00,16:00,月曜が祝日の場合は開館し、翌平日が休館日。12/31～1/3は利用不可。,不要,電話はごみ減量推進担当課。,古紙・リターナブルびん,,
25,北区役所,札幌市北区北24条西6丁目,北区民センター向い側（裏口）,なし,古紙回収ボックス,月火水木金土日,8:45,17:15,12/29～1/3は利用不可。,不要,なし,古紙・リターナブルびん,43.0905406,141.3405347
26,スーパーアークス北24条店,札幌市北区北24条西9丁目1-1,なし,011-708-0333,古紙回収協力店,月火水木金土日,10:00,22:00,日曜の利用時間は9:00～22:00。,不要,なし,古紙・リターナブルびん,43.0899292,141.3360538
27,新陽会館,札幌市北区北26条西15丁目4-8,なし,なし,エコボックス,月火水木金土日,9:00,19:00,祝日、お盆、正月は利用不可。,不要,なし,古紙・リターナブルびん,43.0937005,141.3258894
28,ヴェルビュ麻生,札幌市北区北35条西7丁目1-20,なし,なし,エコボックス,月火水木金土日,7:00,18:00,なし,不要,なし,古紙・リターナブルびん,43.1031086,141.3361484
